,date,value,search_type,event,kw,index,rumor_day,announce_day,kwe,rumor_delta,announce_delta,rumor_announce_gap,max_date,min_date,study_duration,n_event_kws,rumor_period,announce_period,control_period,period,start_delta,year,val_prop
0,2018-04-29,1,web,Justice_retirement_2018,justice kennedy,Justice_retirement_2018,2018-05-30,2018-06-27,justice kennedy_Justice_retirement_2018,-31,-59,28,2018-07-27,2018-04-29,89,3,0,0,1,control,0,2018,0.0006317119393556538
1,2018-04-30,0,web,Justice_retirement_2018,justice kennedy,Justice_retirement_2018,2018-05-30,2018-06-27,justice kennedy_Justice_retirement_2018,-30,-58,28,2018-07-27,2018-04-29,89,3,0,0,1,control,1,2018,0.0
2,2018-05-01,0,web,Justice_retirement_2018,justice kennedy,Justice_retirement_2018,2018-05-30,2018-06-27,justice kennedy_Justice_retirement_2018,-29,-57,28,2018-07-27,2018-04-29,89,3,0,0,1,control,2,2018,0.0
3,2018-05-02,0,web,Justice_retirement_2018,justice kennedy,Justice_retirement_2018,2018-05-30,2018-06-27,justice kennedy_Justice_retirement_2018,-28,-56,28,2018-07-27,2018-04-29,89,3,0,0,1,control,3,2018,0.0
4,2018-05-03,0,web,Justice_retirement_2018,justice kennedy,Justice_retirement_2018,2018-05-30,2018-06-27,justice kennedy_Justice_retirement_2018,-27,-55,28,2018-07-27,2018-04-29,89,3,0,0,1,control,4,2018,0.0
5,2018-05-04,0,web,Justice_retirement_2018,justice kennedy,Justice_retirement_2018,2018-05-30,2018-06-27,justice kennedy_Justice_retirement_2018,-26,-54,28,2018-07-27,2018-04-29,89,3,0,0,1,control,5,2018,0.0
6,2018-05-05,0,web,Justice_retirement_2018,justice kennedy,Justice_retirement_2018,2018-05-30,2018-06-27,justice kennedy_Justice_retirement_2018,-25,-53,28,2018-07-27,2018-04-29,89,3,0,0,1,control,6,2018,0.0
7,2018-05-06,0,web,Justice_retirement_2018,justice kennedy,Justice_retirement_2018,2018-05-30,2018-06-27,justice kennedy_Justice_retirement_2018,-24,-52,28,2018-07-27,2018-04-29,89,3,0,0,1,control,7,2018,0.0
8,2018-05-07,0,web,Justice_retirement_2018,justice kennedy,Justice_retirement_2018,2018-05-30,2018-06-27,justice kennedy_Justice_retirement_2018,-23,-51,28,2018-07-27,2018-04-29,89,3,0,0,1,control,8,2018,0.0
9,2018-05-08,0,web,Justice_retirement_2018,justice kennedy,Justice_retirement_2018,2018-05-30,2018-06-27,justice kennedy_Justice_retirement_2018,-22,-50,28,2018-07-27,2018-04-29,89,3,0,0,1,control,9,2018,0.0
10,2018-05-09,0,web,Justice_retirement_2018,justice kennedy,Justice_retirement_2018,2018-05-30,2018-06-27,justice kennedy_Justice_retirement_2018,-21,-49,28,2018-07-27,2018-04-29,89,3,0,0,1,control,10,2018,0.0
11,2018-05-10,0,web,Justice_retirement_2018,justice kennedy,Justice_retirement_2018,2018-05-30,2018-06-27,justice kennedy_Justice_retirement_2018,-20,-48,28,2018-07-27,2018-04-29,89,3,0,0,1,control,11,2018,0.0
12,2018-05-11,0,web,Justice_retirement_2018,justice kennedy,Justice_retirement_2018,2018-05-30,2018-06-27,justice kennedy_Justice_retirement_2018,-19,-47,28,2018-07-27,2018-04-29,89,3,0,0,1,control,12,2018,0.0
13,2018-05-12,0,web,Justice_retirement_2018,justice kennedy,Justice_retirement_2018,2018-05-30,2018-06-27,justice kennedy_Justice_retirement_2018,-18,-46,28,2018-07-27,2018-04-29,89,3,0,0,1,control,13,2018,0.0
14,2018-05-13,0,web,Justice_retirement_2018,justice kennedy,Justice_retirement_2018,2018-05-30,2018-06-27,justice kennedy_Justice_retirement_2018,-17,-45,28,2018-07-27,2018-04-29,89,3,0,0,1,control,14,2018,0.0
15,2018-05-14,0,web,Justice_retirement_2018,justice kennedy,Justice_retirement_2018,2018-05-30,2018-06-27,justice kennedy_Justice_retirement_2018,-16,-44,28,2018-07-27,2018-04-29,89,3,0,0,1,control,15,2018,0.0
16,2018-05-15,0,web,Justice_retirement_2018,justice kennedy,Justice_retirement_2018,2018-05-30,2018-06-27,justice kennedy_Justice_retirement_2018,-15,-43,28,2018-07-27,2018-04-29,89,3,0,0,1,control,16,2018,0.0
17,2018-05-16,0,web,Justice_retirement_2018,justice kennedy,Justice_retirement_2018,2018-05-30,2018-06-27,justice kennedy_Justice_retirement_2018,-14,-42,28,2018-07-27,2018-04-29,89,3,0,0,1,control,17,2018,0.0
18,2018-05-17,0,web,Justice_retirement_2018,justice kennedy,Justice_retirement_2018,2018-05-30,2018-06-27,justice kennedy_Justice_retirement_2018,-13,-41,28,2018-07-27,2018-04-29,89,3,0,0,1,control,18,2018,0.0
19,2018-05-18,0,web,Justice_retirement_2018,justice kennedy,Justice_retirement_2018,2018-05-30,2018-06-27,justice kennedy_Justice_retirement_2018,-12,-40,28,2018-07-27,2018-04-29,89,3,0,0,1,control,19,2018,0.0
20,2018-05-19,0,web,Justice_retirement_2018,justice kennedy,Justice_retirement_2018,2018-05-30,2018-06-27,justice kennedy_Justice_retirement_2018,-11,-39,28,2018-07-27,2018-04-29,89,3,0,0,1,control,20,2018,0.0
21,2018-05-20,0,web,Justice_retirement_2018,justice kennedy,Justice_retirement_2018,2018-05-30,2018-06-27,justice kennedy_Justice_retirement_2018,-10,-38,28,2018-07-27,2018-04-29,89,3,0,0,1,control,21,2018,0.0
22,2018-05-21,1,web,Justice_retirement_2018,justice kennedy,Justice_retirement_2018,2018-05-30,2018-06-27,justice kennedy_Justice_retirement_2018,-9,-37,28,2018-07-27,2018-04-29,89,3,0,0,1,control,22,2018,0.0006317119393556538
23,2018-05-22,0,web,Justice_retirement_2018,justice kennedy,Justice_retirement_2018,2018-05-30,2018-06-27,justice kennedy_Justice_retirement_2018,-8,-36,28,2018-07-27,2018-04-29,89,3,0,0,1,control,23,2018,0.0
24,2018-05-23,0,web,Justice_retirement_2018,justice kennedy,Justice_retirement_2018,2018-05-30,2018-06-27,justice kennedy_Justice_retirement_2018,-7,-35,28,2018-07-27,2018-04-29,89,3,0,0,1,control,24,2018,0.0
25,2018-05-24,0,web,Justice_retirement_2018,justice kennedy,Justice_retirement_2018,2018-05-30,2018-06-27,justice kennedy_Justice_retirement_2018,-6,-34,28,2018-07-27,2018-04-29,89,3,0,0,1,control,25,2018,0.0
